name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ancestor's Chosen,{5}{W}{W},7,W,Pete Venters,1,Creature — Human Cleric,"First strike (This creature deals combat damage before creatures without first strike.)\nWhen Ancestor's Chosen enters the battlefield, you gain 1 life for each card in your graveyard.","JUD,10E","""The will of all, by my hand done.""",normal,130550,4,4,Uncommon,"Human,Cleric",Creature
Angel of Mercy,{4}{W},5,W,Volkan Baga,2,Creature — Angel,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.","PO2,S99,INV,8ED,9ED,10E,DDC,DD3_DVD",Every tear shed is a drop of immortality.,normal,129465,3,3,Uncommon,Angel,Creature
Angelic Blessing,{2}{W},3,W,Mark Zug,3,Sorcery,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"POR,PO2,EXO,S99,S00,9ED,10E,TPR",Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,normal,129711,,,Common,,Sorcery
Angelic Chorus,{3}{W}{W},5,W,Jim Murray,4,Enchantment,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.","USG,10E",The harmony of the glorious is a dirge to the wicked.,normal,129710,,,Rare,,Enchantment
Angelic Wall,{1}{W},2,W,John Avon,5,Creature — Wall,Defender (This creature can't attack.)\nFlying,"PO2,ODY,10E,AVR,M14","""The Ancestor protects us in ways we can't begin to comprehend.""\n—Mystic elder",normal,129671,0,4,Common,Wall,Creature
Aura of Silence,{1}{W}{W},3,W,D. Alexander Gregory,6,Enchantment,Artifact and enchantment spells your opponents cast cost {2} more to cast.\nSacrifice Aura of Silence: Destroy target artifact or enchantment.,"WTH,pFNM,10E,C15",Not all silences are easily broken.,normal,132127,,,Uncommon,,Enchantment
Aven Cloudchaser,{3}{W},4,W,Justin Sweet,7,Creature — Bird Soldier,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment.","ODY,8ED,9ED,10E","""At the Reapportionment, Eagle begged to be human. The Ancestor granted half that prayer.""\n—Nomad myth",normal,129470,2,2,Common,"Bird,Soldier",Creature
Ballista Squad,{3}{W},4,W,Matthew D. Wilson,8,Creature — Human Rebel,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.","MMQ,9ED,10E",The perfect antidote for a tightly packed formation.,normal,129477,2,2,Uncommon,"Human,Rebel",Creature
Bandage,{W},1,W,Rebecca Guay,9,Instant,Prevent the next 1 damage that would be dealt to target creature or player this turn.\nDraw a card.,"STH,10E,TPR","Life is measured in inches. To a healer, every one of those inches is precious.",normal,132106,,,Common,,Instant
Beacon of Immortality,{5}{W},6,W,Rob Alexander,10,Instant,Double target player's life total. Shuffle Beacon of Immortality into its owner's library.,"5DN,10E",The cave floods with light. A thousand rays shine forth and meld into one.,normal,130553,,,Rare,,Instant
Benalish Knight,{2}{W},3,W,Zoltan Boros & Gabor Szikszai,11,Creature — Human Knight,Flash (You may cast this spell any time you could cast an instant.)\nFirst strike (This creature deals combat damage before creatures without first strike.),"WTH,ATH,10E","""We called them ‘armored lightning.'""\n—Gerrard of the Weatherlight",normal,136279,2,2,Common,"Human,Knight",Creature
"Cho-Manno, Revolutionary",{2}{W}{W},4,W,Steven Belledin,12,Legendary Creature — Human Rebel,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.","MMQ,10E","""Mercadia's masks can no longer hide the truth. Our day has come at last.""",normal,130554,2,2,Rare,"Human,Rebel",Creature
Condemn,{W},1,W,Daren Bader,13,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"pMPR,DIS,10E,M11,DDL,C14","""No doubt the arbiters would put you away, after all the documents are signed. But I will have justice now!""\n—Alovnek, Boros guildmage",normal,130528,,,Uncommon,,Instant
